property_name,full_address,city,state,zip,property_type,square_footage,acquisition_price,acquisition_date,notes,external_id,image_url,unit_name,rent_price,tenant_name,unit_notes,year,month,rent_date,rent_amount,payment_method,rent_notes
405 Mother Gaston Blvd,405 Mother Gaston Blvd,Brooklyn,NY,,Mixed-use,,,,,405-mother-gaston-blvd,,2F,3560,,"2 bed, 2 bath, 1.0 sq ft",,,,,,
405 Mother Gaston Blvd,405 Mother Gaston Blvd,Brooklyn,NY,,Mixed-use,,,,,405-mother-gaston-blvd,,3F,2600,,,,,,,,
405 Mother Gaston Blvd,405 Mother Gaston Blvd,Brooklyn,NY,,Mixed-use,,,,,405-mother-gaston-blvd,,store,3934,,"2 bed, 2 bath, 1.0 sq ft",,,,,,
642 Flatbush Ave,642 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,642-flatbush-ave,,Store,5715,,,,,,,,
642 Flatbush Ave,642 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,642-flatbush-ave,,2F,2200,,,,,,,,
642 Flatbush Ave,642 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,642-flatbush-ave,,2R,1900,,,,,,,,
642 Flatbush Ave,642 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,642-flatbush-ave,,3F,1700,,,,,,,,
642 Flatbush Ave,642 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,642-flatbush-ave,,3R,2271,,,,,,,,
721 Flatbush Ave,721 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,721-flatbush-ave,,Store,7031,,,,,,,,
721 Flatbush Ave,721 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,721-flatbush-ave,,2F,2600,,,,,,,,
721 Flatbush Ave,721 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,721-flatbush-ave,,3F,2700,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,730A/ store,4377,,"1 bed, 1 bath, 1.0 sq ft",,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,730B/ store,3502,,"1 bed, 1 bath, 1.0 sq ft",,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,732/ store,4635,,"1 bed, 1 bath, 1.0 sq ft",,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,734/ store,5891,,"1 bed, 1 bath, 1.0 sq ft",,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,736/ store,5463,,"1 bed, 1 bath, 1.0 sq ft",,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,738/ store,6146,,"1 bed, 1 bath, 1.0 sq ft",,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,1G,1700,,"1 bed, 1 bath, 2.0 sq ft",,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,2A,1104,,"1 bed, 1 bath, 1.0 sq ft",,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,2B,1000,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,2C,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,2D,1750,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,3A,1730,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,3B,1750,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,3C,1442,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,3D,1813,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,4A,1550,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,4B,1691,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,4C,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,4D,1878,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,R,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,S,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,T,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,U,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,V,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,W,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,X,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,Y,,,,,,,,,
730 Flatbush Ave 12,730 Flatbush Ave 12,Brooklyn,NY,,Multi-family,,,,,730-flatbush-ave-12,,Z,,,,,,,,,
734 Flatbush Ave,734 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,734-flatbush-ave,,734,,,,,,,,,
736 Flatbush Ave,736 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,736-flatbush-ave,,736,,,,,,,,,
739 Clarkson Ave,739 Clarkson Ave,Brooklyn,NY,,Multi-family,,,,,739-clarkson-ave,,739,,,,,,,,,
739 Flatbush Ave,739 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,739-flatbush-ave,,739A,2200,,,,,,,,
739 Flatbush Ave,739 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,739-flatbush-ave,,739B,,,,,,,,,
739 Flatbush Ave,739 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,739-flatbush-ave,,739/7 Clarkson,,,,,,,,,
739 Flatbush Ave,739 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,739-flatbush-ave,,739/9 Clarkson,,,,,,,,,
739 Flatbush Ave,739 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,739-flatbush-ave,,2F,1854,,,,,,,,
739 Flatbush Ave,739 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,739-flatbush-ave,,2R,1596,,,,,,,,
739 Flatbush Ave,739 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,739-flatbush-ave,,3F,1854,,,,,,,,
739 Flatbush Ave,739 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,739-flatbush-ave,,3R,2638,,,,,,,,
815 Utica Ave,815 Utica Ave,Brooklyn,NY,,Multi-family,,,,,815-utica-ave,,Store,6210,,1800.0 sq ft,,,,,,
815 Utica Ave,815 Utica Ave,Brooklyn,NY,,Multi-family,,,,,815-utica-ave,,1F,2300,,1800.0 sq ft,,,,,,
992 Flatbush Ave,992 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,992-flatbush-ave,,992A,8724,,4100.0 sq ft,,,,,,
992 Flatbush Ave,992 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,992-flatbush-ave,,992B,1800,,4100.0 sq ft,,,,,,
